Comment[SPOT_ID]	Comment[CONTROL_TYPE]	Comment[ORF]	Comment[GENE_NAME]	Comment[ACCESSION_STRING]	Reporter Comment
	FALSE	lamB	maltose outer membrane porin (maltoporin)	cmr|b4036|asap|ABE-0013218	phage lambda receptor protein; maltose high-affinity receptor [b4036]
	FALSE	yhgH	gluconate periplasmic binding protein	cmr|c_4190	Hypothetical protein yhgH [c_4190]
	FALSE	ydcA	hypothetical protein	cmr|c_1845|asap|ABR-0077962	Hypothetical protein ydcA precursor [c_1845]
	FALSE	ECs3589	DNA mismatch repair protein	cmr|ECs3589|asap|ACA-0133625	MutS protein [ECs3589]
	FALSE	ECs0021	hypothetical protein	cmr|ECs0021|asap|ACA-0129900	hypothetical protein [ECs0021]
	FALSE	narV	nitrate reductase 2 (NRZ), gamma subunit	cmr|b1465|asap|ABE-0004889	cryptic nitrate reductase 2, gamma subunit [b1465]
	FALSE	ybfC	predicted protein	cmr|b0704|asap|ABE-0002404	orf, hypothetical protein [b0704]
	FALSE	proX	glycine betaine transporter subunit	cmr|b2679|asap|ABE-0008818	high-affinity transport system for glycine betaine and proline [b2679]
	FALSE	setC	predicted sugar efflux system	cmr|b3659|asap|ABE-0011959	two-module transport protein [b3659]
	FALSE	hepA	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	cmr|b0059|asap|ABE-0000198	probable ATP-dependent RNA helicase [b0059]
	FALSE	Z0335	unknown protein encoded in prophage CP-933I	cmr|Z0335|asap|ABH-0024221	unknown protein encoded in prophage CP-933I [Z0335]
	FALSE	yjdB	predicted metal dependent hydrolase	cmr|c_5119|asap|ABR-0081325	Hypothetical protein yjdB [c_5119]
	FALSE	fadI	3-ketoacyl-CoA thiolase	cmr|ECs3225|asap|ACA-0133236	putative acyltransferase [ECs3225]
	FALSE	rcnR	conserved protein	cmr|b2105|asap|ABE-0006964	orf, hypothetical protein [b2105]
	FALSE	rsgA	ribosome small subunit-dependent GTPase A	cmr|b4161|asap|ABE-0013626	orf, hypothetical protein [b4161]
	FALSE	ECs2060	VgrE	cmr|ECs2060|asap|ACA-0132028	VgrE protein [ECs2060]
cmr|c_1914|asap|ABR-0078031	FALSE			cmr|c_1914|asap|ABR-0078031	Bdm protein [c_1914]
	FALSE	yciI	predicted enzyme	cmr|b1251|asap|ABE-0004192	orf, hypothetical protein [b1251]
	FALSE	mscS	mechanosensitive channel	cmr|b2924|asap|ABE-0009595	putative transport protein [b2924]
	FALSE	Z2991	putative tail sheath protein of prophage CP-933T	cmr|Z2991|asap|ABH-0026730	putative tail sheath protein of prophage CP-933T [Z2991]
	FALSE	ECs2940	hypothetical protein	cmr|ECs2940|asap|ACA-0132946	hypothetical protein [ECs2940]
	FALSE	focX	Putative Regulatory protein	cmr|c_1247|cmr|c_3582|asap|ABR-0077345|asap|ABR-0079746	Putative Regulatory protein [c_1247]
	FALSE	yagJ	CP4-6 prophage; predicted protein	cmr|b0276|asap|ABE-0000963	orf, hypothetical protein [b0276]
	FALSE	yehV	MerR-like regulator A	cmr|c_2657|asap|ABR-0078793	MerR-like regulator A [c_2657]
	FALSE	Z3024	hypothetical protein	cmr|Z3024|asap|ABH-0026762	orf, hypothetical protein [Z3024]
	FALSE	yecE	conserved protein	cmr|b1868|asap|ABE-0006233	orf, hypothetical protein [b1868]
cmr|c_3224|asap|ABR-0079374	FALSE			cmr|c_3224|asap|ABR-0079374	Conserved hypothetical protein [c_3224]
	FALSE	Z2884	hypothetical protein	cmr|Z2884|asap|ABH-0026632	orf, hypothetical protein [Z2884]
cmr|c_1489|asap|ABR-0077597	FALSE			cmr|c_1489|asap|ABR-0077597	Hypothetical protein [c_1489]
	FALSE	Z5689	putative periplasmic ribose-binding protein of ABC transport system	cmr|Z5689|asap|ABH-0029263	putative periplasmic ribose-binding protein of ABC transport [Z5689]
	FALSE	L7057	replication protein	asap|ABH-0244104	replication protein [L7057]
cmr|c_3599|asap|ABR-0079764	FALSE			cmr|c_3599|asap|ABR-0079764	Hypothetical protein [c_3599]
cmr|c_1453|cmr|c_1577|asap|ABR-0077561|asap|ABR-0077688	FALSE			cmr|c_1453|cmr|c_1577|asap|ABR-0077561|asap|ABR-0077688	Putative head-tail joining protein of prophage [c_1453]
	FALSE	minD	membrane ATPase of the MinC-MinD-MinE system	cmr|b1175|asap|ABE-0003938	cell division inhibitor, a membrane ATPase, activates minC [b1175]
cmr|b2862|asap|ABE-0009399	FALSE			cmr|b2862|asap|ABE-0009399	orf, hypothetical protein [b2862]
	FALSE	ECs0833	putative minor tail protein	cmr|ECs0833|asap|ACA-0130744	putative minor tail protein [ECs0833]
	FALSE	L7012	hypothetical protein	asap|ABH-0244025	unknown [L7012]
cmr|c_4518|asap|ABR-0080700	FALSE			cmr|c_4518|asap|ABR-0080700	Conserved hypothetical protein [c_4518]
	FALSE	ECs2909	hypothetical protein	cmr|ECs2909|asap|ACA-0132914	hypothetical protein [ECs2909]
cmr|Z4083|asap|ABH-0027754	FALSE			cmr|Z4083|asap|ABH-0027754	partial putative transport protein [Z4083]
	FALSE	fabG	3-ketoacyl-(acyl-carrier-protein) reductase	cmr|Z4865|asap|ABH-0028517	putative beta-ketoacyl-ACP reductase [Z4865]
	FALSE	Z2504	partial putative outer membrane channel protein	cmr|Z2504|asap|ABH-0026243	partial putative outer membrane channel protein [Z2504]
	FALSE	aroB	3-dehydroquinate synthase	cmr|b3389|asap|ABE-0011067	3-dehydroquinate synthase [b3389]
cmr|b0322	FALSE			cmr|b0322	orf, hypothetical protein [b0322]
	FALSE	ECs2582	biotin sulfoxide reductase 2	cmr|ECs2582|asap|ACA-0132566	biotin sulfoxide reductase 2 [ECs2582]
	FALSE	Z5490	hypothetical protein	cmr|Z5490|asap|ABH-0029096	orf Unknown function [Z5490]
	FALSE	hofP	predicted protein	cmr|b3392|asap|ABE-0011073	orf, hypothetical protein [b3392]
cmr|c_4688|asap|ABR-0080878	FALSE			cmr|c_4688|asap|ABR-0080878	Hypothetical protein [c_4688]
	FALSE	yfcP	Hypothetical fimbrial-like protein yfcP precursor	cmr|c_2879|asap|ABR-0079016	Hypothetical fimbrial-like protein yfcP precursor [c_2879]
	FALSE	Z1809	unknown protein encoded by prophage CP-933N	cmr|Z1809|cmr|Z1905|cmr|Z1368|cmr|Z3325	unknown protein encoded by prophage CP-933N [Z1809]
	FALSE	ECs5249	putative resolvase	cmr|ECs5249|asap|ACA-0135368	putative resolvase [ECs5249]
	FALSE	sodB	superoxide dismutase, Fe	cmr|b1656|asap|ABE-0005537	superoxide dismutase, iron [b1656]
	FALSE	yihR	putative aldose-1-epimerase	cmr|Z5416|asap|ABH-0029024	putative aldose-1-epimerase [Z5416]
--(+)E1A_r60_n11	pos				
	FALSE	ydaC	hypothetical protein	cmr|Z2413|asap|ABH-0026173	unknown protein encoded within prophage CP-933R [Z2413]
cmr|c_1246|asap|ABR-0077344	FALSE			cmr|c_1246|asap|ABR-0077344	Hypothetical protein [c_1246]
	FALSE	fumC	fumarate hydratase	cmr|c_2003|asap|ABR-0078118	Fumarate hydratase class II [c_2003]
cmr|c_0318|asap|ABR-0076391	FALSE			cmr|c_0318|asap|ABR-0076391	Putative sugar-phosphate isomerase [c_0318]
	FALSE	ECs0226	hypothetical lipoprotein	cmr|ECs0226|asap|ACA-0130112	hypothetical lipoprotein [ECs0226]
	FALSE	pflD	predicted formate acetyltransferase 2 (pyruvate formate lyase II)	cmr|b3951|asap|ABE-0012934	formate acetyltransferase 2 [b3951]
	FALSE	Z3144	hypothetical protein	cmr|Z3144|asap|ABH-0026870	orf Unknown function [Z3144]
cmr|c_1406|asap|ABR-0077510	FALSE			cmr|c_1406|asap|ABR-0077510	Hypothetical protein [c_1406]
cmr|Z4258	FALSE			cmr|Z4258	partial putative transcriptional regulator LYSR-type [Z4258]
	FALSE	ccmE	periplasmic heme chaperone	cmr|b2197|asap|ABE-0007271	cytochrome c biogenesis, possible subunit of a heme lyase [b2197]
	FALSE	Z5027	hypothetical protein	cmr|Z5027|asap|ABH-0028671	orf Unknown function [Z5027]
cmr|b2596	FALSE			cmr|b2596	orf, hypothetical protein [b2596]
	FALSE	mreB	cell wall structural complex MreBCD, actin-like component MreB	cmr|b3251|asap|ABE-0010661	regulator of ftsI, penicillin binding protein 3, septation function [b3251]
	FALSE	Z5888	hypothetical protein	cmr|Z5888|asap|ABH-0029461	orf Unknown function [Z5888]
cmr|c_0352|cmr|c_0139|cmr|c_1262|cmr|c_1521	FALSE			cmr|c_0352|cmr|c_0139|cmr|c_1262|cmr|c_1521	Partial Transposase [c_0352]
cmr|b0395	FALSE			cmr|b0395	orf, hypothetical protein [b0395]
	FALSE	rstB	sensor protein RstB	cmr|c_2001|asap|ABR-0078116	Sensor protein rstB [c_2001]
cmr|c_4409|asap|ABR-0080586	FALSE			cmr|c_4409|asap|ABR-0080586	Hypothetical protein [c_4409]
	FALSE	gatY	putative fructose-1,6-bisphosphate aldolase	cmr|c_2621|asap|ABR-0078755	Tagatose-bisphosphate aldolase gatY [c_2621]
cmr|c_1755|asap|ABR-0077871	FALSE			cmr|c_1755|asap|ABR-0077871	Conserved hypothetical protein [c_1755]
	FALSE	yjjN	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	cmr|b4358|asap|ABE-0014294	putative oxidoreductase [b4358]
cmr|c_4560|asap|ABR-0080743	FALSE			cmr|c_4560|asap|ABR-0080743	Hypothetical protein [c_4560]
	FALSE	Z2143	putative tail component of prophage CP-933O	cmr|Z2143|cmr|Z3081|asap|ABH-0025918|asap|ABH-0026812	putative tail component of prophage CP-933O [Z2143]
	FALSE	dmsA	Anaerobic dimethyl sulfoxide reductase chain A precursor	cmr|c_1031|asap|ABR-0077123	Anaerobic dimethyl sulfoxide reductase chain A precursor [c_1031]
--RC7	pos				
cmr|ECs2943|cmr|ECs1806|cmr|ECs1121|cmr|ECs2233	FALSE			cmr|ECs2943|cmr|ECs1806|cmr|ECs1121|cmr|ECs2233	putative host specificity protein [ECs2943]
	FALSE	Z3361	putative transcription antitermination protein N of prophage CP-933V	cmr|Z3361|asap|ABH-0027081	putative transcription antitermination protein N of prophage [Z3361]
	FALSE	sodC	superoxide dismutase, Cu, Zn	cmr|b1646|asap|ABE-0005505	superoxide dismutase precursor [b1646]
	FALSE	ydeD	O-acetylserine/cysteine export protein	cmr|Z2168|asap|ABH-0025942	orf, hypothetical protein [Z2168]
	FALSE	Z0969	unknown protein encoded by prophage CP-933K	cmr|Z0969|asap|ABH-0024796	unknown protein encoded by prophage CP-933K [Z0969]
	FALSE	fadI	beta-ketoacyl-CoA thiolase, anaerobic, subunit	cmr|b2342|asap|ABE-0007725	putative acyltransferase [b2342]
	FALSE	ylbA	conserved protein	cmr|b0515|asap|ABE-0001775	orf, hypothetical protein [b0515]
cmr|c_1838|asap|ABR-0077955	FALSE			cmr|c_1838|asap|ABR-0077955	Hypothetical protein [c_1838]
	FALSE	yqiB	predicted dehydrogenase	cmr|b3033|asap|ABE-0009959	putative enzyme [b3033]
	FALSE	yacC	predicted protein	cmr|b0122|asap|ABE-0000423	orf, hypothetical protein [b0122]
	FALSE	Z0243	hypothetical protein	cmr|Z0243|asap|ABH-0024134	putative enzyme Unknown function [Z0243]
	FALSE	Z2394	unknown protein encoded within prophage CP-933R	cmr|Z2394|asap|ABH-0026158	unknown protein encoded within prophage CP-933R [Z2394]
cmr|c_0059|asap|ABR-0076119	FALSE			cmr|c_0059|asap|ABR-0076119	Putative antitoxin of gyrase inhibiting toxin-antitoxin system [c_0059]
cmr|c_2248|asap|ABR-0078367	FALSE			cmr|c_2248|asap|ABR-0078367	Hypothetical protein [c_2248]
	FALSE	yqiH	Hypothetical fimbrial chaperone yqiH precursor	cmr|c_3793|asap|ABR-0079964	Hypothetical fimbrial chaperone yqiH precursor [c_3793]
	FALSE	yijF	Hypothetical protein yijF precursor	cmr|c_4902|asap|ABR-0081100	Hypothetical protein yijF precursor [c_4902]
	FALSE	cysP	thiosulfate transporter subunit	cmr|b2425|asap|ABE-0007992	thiosulfate binding protein [b2425]
	FALSE	sepQ	sepQ	cmr|Z5116|asap|ABH-0028758	sepQ [Z5116]
	FALSE	ECs0294	hypothetical protein	cmr|ECs0294|asap|ACA-0130184	hypothetical protein [ECs0294]
	FALSE	Z0260	hypothetical protein	cmr|Z0260|asap|ABH-0024152	orf Unknown function [Z0260]
	FALSE	ECs0350	putative adhesin	cmr|ECs0350|asap|ACA-0130241	putative adhesin [ECs0350]
	FALSE	ompC	outer membrane porin protein C	cmr|c_2758|asap|ABR-0078895	Outer membrane protein C precursor [c_2758]
cmr|c_3409|asap|ABR-0079567	FALSE			cmr|c_3409|asap|ABR-0079567	Antiterminator [c_3409]
	FALSE	yiaM	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM	cmr|c_4399|asap|ABR-0080576	Hypothetical protein yiaM [c_4399]
	FALSE	ECs3847	hypothetical protein	cmr|ECs3847|asap|ACA-0133893	hypothetical protein [ECs3847]
	FALSE	pspA	regulatory protein for phage-shock-protein operon	cmr|b1304|asap|ABE-0004387	phage shock protein, inner membrane protein [b1304]
cmr|Z2075	FALSE			cmr|Z2075	unknown protein encoded by prophage CP-933O [Z2075]
	FALSE	ECs4471	hypothetical protein	cmr|ECs4471|asap|ACA-0134544	hypothetical protein [ECs4471]
	FALSE	yqgC	predicted protein	cmr|b2940|asap|ABE-0009643	orf, hypothetical protein [b2940]
cmr|c_3571|asap|ABR-0079734	FALSE			cmr|c_3571|asap|ABR-0079734	Hypothetical protein [c_3571]
	FALSE	ydjM	predicted inner membrane protein regulated by LexA	cmr|b1728|asap|ABE-0005768	orf, hypothetical protein [b1728]
	FALSE	yhhS	predicted transporter	cmr|b3473|asap|ABE-0011344	putative transport [b3473]
cmr|c_4059	FALSE			cmr|c_4059	Hypothetical protein [c_4059]
	FALSE	yeiC	predicted kinase	cmr|c_2701|asap|ABR-0078837	Hypothetical sugar kinase yeiC [c_2701]
cmr|c_4305|asap|ABR-0080481	FALSE			cmr|c_4305|asap|ABR-0080481	Hypothetical protein [c_4305]
	FALSE	hflB	protease, ATP-dependent zinc-metallo	cmr|b3178|asap|ABE-0010444	degrades sigma32, integral membrane peptidase, cell division protein [b3178]
	FALSE	div	predicted flagella assembly protein	cmr|c_2866|asap|ABR-0079003	DIV protein [c_2866]
cmr|c_2435	FALSE			cmr|c_2435	Hypothetical protein [c_2435]
	FALSE	msbA	fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component	cmr|b0914|asap|ABE-0003113	ATP-binding transport protein; multicopy suppressor of htrB [b0914]
	FALSE	ECs0605	Rhs core protein with extension	cmr|ECs0605|asap|ACA-0130499	Rhs core protein with extension [ECs0605]
	FALSE	yadD	predicted transposase	cmr|b0132|asap|ABE-0000463	orf, hypothetical protein [b0132]
	FALSE	tolQ	colicin uptake protein TolQ	cmr|Z0905|asap|ABH-0024737	inner membrane protein, membrane-spanning, maintains integrity of [Z0905]
	FALSE	yjiR	fused predicted DNA-binding transcriptional regulator/predicted aminotransferase	cmr|b4340|asap|ABE-0014232	putative regulator [b4340]
	FALSE	napD	assembly protein for periplasmic nitrate reductase	cmr|b2207|asap|ABE-0007291	orf, hypothetical protein [b2207]
	FALSE	yqfA	predicted oxidoreductase, inner membrane subunit	cmr|b2899|asap|ABE-0009515	putative oxidoreductase [b2899]
	FALSE	yhjU	hypothetical protein	cmr|Z4954|asap|ABH-0028600	orf, hypothetical protein [Z4954]
cmr|c_0864|asap|ABR-0076955	FALSE			cmr|c_0864|asap|ABR-0076955	Hypothetical protein [c_0864]
	FALSE	nrfA	nitrite reductase, formate-dependent, cytochrome	cmr|b4070|asap|ABE-0013342	periplasmic cytochrome c [b4070]
	FALSE	ybcM	Hypothetical transcriptional regulator ybcM	cmr|c_2349|asap|ABR-0078472	Hypothetical transcriptional regulator ybcM [c_2349]
	FALSE	ECs3235	hypothetical protein	cmr|ECs3235|asap|ACA-0133247	hypothetical protein [ECs3235]
	FALSE	Z6024	unknown protein encoded by cryptic prophage CP-933P	cmr|Z6024|asap|ABH-0026309	unknown protein encoded by cryptic prophage CP-933P [Z6024]
	FALSE	hycH	protein required for maturation of hydrogenase 3	cmr|b2718|asap|ABE-0008933	processing of large subunit [b2718]
	FALSE	L7086	hypothetical protein	asap|ABH-0244157	hypothetical protein [L7086]
	FALSE	ECs3871	hypothetical protein	cmr|ECs3871|asap|ACA-0133928	hypothetical protein [ECs3871]
	FALSE	gnd	gluconate-6-phosphate dehydrogenase, decarboxylating	cmr|b2029|asap|ABE-0006737	gluconate-6-phosphate dehydrogenase, decarboxylating [b2029]
	FALSE	yciI	YciI-like protein	cmr|c_1716|asap|ABR-0077830	Protein yciI [c_1716]
	FALSE	yhiD	predicted Mg(2+) transport ATPase  inner membrane protein	cmr|b3508|asap|ABE-0011456	putative transport ATPase [b3508]
	FALSE	ybgQ	putative outer membrane usher protein	cmr|Z0871|asap|ABH-0024705	putative outer membrane usher protein [Z0871]
	FALSE	yidL	predicted DNA-binding transcriptional regulator	cmr|b3680|asap|ABE-0012034	putative ARAC-type regulatory protein [b3680]
	FALSE	insD	KpLE2 phage-like element; IS2 insertion element transposase InsAB'	cmr|b0361|cmr|b1402|cmr|b1996|cmr|b2860	IS2 hypothetical protein [b0361]
	FALSE	ureC	urease subunit alpha	cmr|Z1145|cmr|Z1584|asap|ABH-0024968|asap|ABH-0025390	putative urease structural subunit C [Z1145]
	FALSE	ftsA	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	cmr|b0094|asap|ABE-0000331	ATP-binding cell division protein, septation process, complexes with FtsZ, associated with junctions of inner and outer membranes [b0094]
	FALSE	Z0331	unknown protein encoded in prophage CP-933I	cmr|Z0331|asap|ABH-0024217	unknown protein encoded in prophage CP-933I [Z0331]
	FALSE	ECs0767	hypothetical protein	cmr|ECs0767|asap|ACA-0130670	hypothetical protein [ECs0767]
cmr|c_1106|asap|ABR-0077199	FALSE			cmr|c_1106|asap|ABR-0077199	Putative acylphosphatase [c_1106]
	FALSE	ygaA	anaerobic nitric oxide reductase transcription regulator	cmr|c_3263|asap|ABR-0079419	Hypothetical sigma-54-dependent transcriptional regulator ygaA [c_3263]
	FALSE	narU	nitrate/nitrite transporter	cmr|b1469|asap|ABE-0004901	nitrite extrusion protein 2 [b1469]
	FALSE	ECs4529	glutamate transport protein	cmr|ECs4529|asap|ACA-0134603	glutamate transport protein [ECs4529]
	FALSE	leuA	2-isopropylmalate synthase	cmr|b0074|asap|ABE-0000267	2-isopropylmalate synthase [b0074]
	FALSE	coxT	putative regulator for prophage CP-933T	cmr|Z2970|asap|ABH-0026709	putative regulator for prophage CP-933T [Z2970]
	FALSE	ECs1805	minor tail protein	cmr|ECs1805|asap|ACA-0131763	minor tail protein [ECs1805]
	FALSE	yjfC	Hypothetical protein yjfC	cmr|c_5274|asap|ABR-0081487	Hypothetical protein yjfC [c_5274]
	FALSE	waaU	lipopolysaccharide core biosynthesis	cmr|b3623|asap|ABE-0011851	probably hexose transferase; lipopolysaccharide core biosynthesis [b3623]
	FALSE	rffC	TDP-fucosamine acetyltransferase	cmr|b3790|asap|ABE-0012382	orf, hypothetical protein [b3790]
cmr|c_0409|asap|ABR-0076485	FALSE			cmr|c_0409|asap|ABR-0076485	Putative oxidoreductase [c_0409]
	FALSE	scpC	propionyl-CoA:succinate-CoA transferase	cmr|b2920|asap|ABE-0009583	putative coenzyme A transferase [b2920]
	FALSE	glpR	DNA-binding transcriptional repressor	cmr|c_4200|asap|ABR-0080376	Glycerol-3-phosphate regulon repressor [c_4200]
	FALSE	atpC	F1 sector of membrane-bound ATP synthase, epsilon subunit	cmr|b3731|asap|ABE-0012206	membrane-bound ATP synthase, F1 sector, epsilon-subunit [b3731]
	FALSE	apaG	protein associated with Co2+ and Mg2+ efflux	cmr|b0050|asap|ABE-0000169	orf, hypothetical protein [b0050]
	FALSE	ECs4893	putative membrane transport/symporter protein	cmr|ECs4893|asap|ACA-0134993	putative membrane transport / symporter protein [ECs4893]
	FALSE	etk	cryptic autophosphorylating protein tyrosine kinase Etk	cmr|b0981|asap|ABE-0003309	orf, hypothetical protein [b0981]
cmr|c_5158|cmr|c_4568|asap|ABR-0080751|asap|ABR-0081365	FALSE			cmr|c_5158|cmr|c_4568|asap|ABR-0080751|asap|ABR-0081365	Hypothetical protein [c_5158]
	FALSE	yqjK	Hypothetical protein yqjK	cmr|c_3858|asap|ABR-0080030	Hypothetical protein yqjK [c_3858]
cmr|c_3391|asap|ABR-0079549	FALSE			cmr|c_3391|asap|ABR-0079549	Secreted protein Hcp [c_3391]
	FALSE	ECs0351	hypothetical protein	cmr|ECs0351|asap|ACA-0130242	hypothetical protein [ECs0351]
	FALSE	trxC	thioredoxin 2	cmr|c_3107|asap|ABR-0079250	Thioredoxin 2 [c_3107]
	FALSE	rumB	23S rRNA m(5)U747 methyltransferase	cmr|b0859|asap|ABE-0002924	putative enzyme [b0859]
	FALSE	ECs4956	hypothetical protein	cmr|ECs4956|asap|ACA-0135068	hypothetical protein [ECs4956]
	FALSE	phnD	Phosphonates-binding periplasmic protein precursor	cmr|c_5110|asap|ABR-0081316	Phosphonates-binding periplasmic protein precursor [c_5110]
	FALSE	yicI	alpha-xylosidase YicI	cmr|Z5084|asap|ABH-0028728	orf, hypothetical protein [Z5084]
	FALSE	ECs3214	hypothetical protein	cmr|ECs3214|asap|ACA-0133226	hypothetical protein [ECs3214]
	FALSE	nohB	DLP12 prophage; DNA packaging protein	cmr|b0560|cmr|b1548|asap|ABE-0001915	bacteriophage DNA packaging protein [b0560]
	FALSE	ybjE	Hypothetical protein ybjE	cmr|c_1007|asap|ABR-0077098	Hypothetical protein ybjE [c_1007]
	FALSE	ECs3848	hypothetical protein	cmr|ECs3848|asap|ACA-0133894	hypothetical protein [ECs3848]
	FALSE	fimA	major type 1 subunit fimbrin (pilin)	cmr|b4314|asap|ABE-0014145	major type 1 subunit fimbrin [b4314]
cmr|c_3507|asap|ABR-0079668	FALSE			cmr|c_3507|asap|ABR-0079668	Hypothetical protein [c_3507]
	FALSE	ECs5051	acetyl-CoA synthetase	cmr|ECs5051|asap|ACA-0135163	acetyl-CoA synthetase [ECs5051]
	FALSE	ECs1406	hypothetical protein	cmr|ECs1406|cmr|ECs2806|asap|ACA-0131352|asap|ACA-0132810	hypothetical protein [ECs1406]
cmr|c_4772|asap|ABR-0080968	FALSE			cmr|c_4772|asap|ABR-0080968	Hypothetical protein [c_4772]
	FALSE	yhbS	predicted acyltransferase with acyl-CoA N-acyltransferase domain	cmr|b3156|asap|ABE-0010373	orf, hypothetical protein [b3156]
	FALSE	actP	acetate permease	cmr|ECs5049|asap|ACA-0135161	putative transport protein [ECs5049]
	FALSE	gpmB	phosphoglycerate mutase	cmr|c_5482|asap|ABR-0081702	Probable phosphoglycerate mutase 2 [c_5482]
	FALSE	csgB	curlin nucleator protein, minor subunit in curli complex	cmr|b1041|asap|ABE-0003534	minor curlin subunit precursor, similar ro CsgA [b1041]
	FALSE	yjaZ	heat shock protein	cmr|b3989|asap|ABE-0013046	heat shock protein htrC [b3989]
	FALSE	srmB	ATP-dependent RNA helicase SrmB	cmr|Z3859|asap|ABH-0027550	ATP-dependent RNA helicase [Z3859]
	FALSE	ECs1743	oligopeptide transport periplasmic binding protein	cmr|ECs1743|asap|ACA-0131697	oligopeptide transport periplasmic binding protein [ECs1743]
cmr|c_5424|asap|ABR-0081640	FALSE			cmr|c_5424|asap|ABR-0081640	Putative restriction modification enzyme M subunit [c_5424]
cmr|c_1171|asap|ABR-0077266	FALSE			cmr|c_1171|asap|ABR-0077266	Conserved hypothetical protein [c_1171]
	FALSE	yedA	hypothetical protein	cmr|c_2378|asap|ABR-0078501	Hypothetical transport protein yedA [c_2378]
	FALSE	ECs5293	putative transport protein	cmr|ECs5293|asap|ACA-0135414	putative transport protein [ECs5293]
	FALSE	ECs1377	hypothetical protein	cmr|ECs1377|asap|ACA-0131319	hypothetical protein [ECs1377]
	FALSE	ynjF	predicted phosphatidyl transferase, inner membrane protein	cmr|b1758|asap|ABE-0005850	putative cytochrome oxidase [b1758]
	FALSE	yjcC	predicted signal transduction protein (EAL domain containing protein)	cmr|b4061|asap|ABE-0013309	orf, hypothetical protein [b4061]
	FALSE	intH	putative integrase for prophage CP-933H	cmr|Z0307|asap|ABH-0024195	putative integrase for prophage CP-933H [Z0307]
	FALSE	Z3923	hypothetical protein	cmr|Z3923|cmr|Z1957|cmr|Z3162|cmr|Z3297	orf Unknown function [Z3923]
	FALSE	ompT	DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)	cmr|b0565|asap|ABE-0001931	outer membrane protein 3b [b0565]
	FALSE	artJ	arginine transporter subunit	cmr|b0860|asap|ABE-0002927	arginine 3rd transport system periplasmic binding protein [b0860]
	FALSE	ECs4655	hypothetical protein	cmr|ECs4655|asap|ACA-0134733	hypothetical protein [ECs4655]
