

Escherichia coli O157:H7 Sakai (EHEC)
Operon	GeneName	Locus Name	GI	Strand	Pos. Left(pb)	PosRight	Position
46	-	ECs0084	15829338	1	92633	93637	1
47	-	ECs0085	15829339	1	94239	94697	1
47	mraW	ECs0086	15829340	1	94699	95640	2
47	ftsL	ECs0087	15829341	1	95637	96002	3
47	ftsI	ECs0088	15829342	1	96018	97784	4
47	murE	ECs0089	15829343	1	97771	99258	5
47	murF	ECs0090	15829344	1	99255	100613	6
47	mraY	ECs0091	15829345	1	100607	101689	7
47	murD	ECs0092	15829346	1	101692	103008	8
47	-	ECs0093	15829347	1	103008	104252	9
47	murG	ECs0094	15829348	1	104249	105316	10
47	murC	ECs0095	15829349	1	105370	106845	11
47	ddl	ECs0096	15829350	1	106838	107758	12
47	-	ECs0097	15829351	1	107760	108590	13
47	ftsA	ECs0098	15829352	1	108587	109849	14
47	-	ECs0099	15829353	1	109910	111061	15
47	lpxC	ECs0100	15829354	1	111162	112079	16
48	-	ECs0101	162139818	1	112310	112822	1
48	secA	ECs0102	15829356	1	112884	115589	2
48	-	ECs0103	15829357	1	115649	116047	3
49	coaE	ECs0107	15829361	-1	117088	117708	1
49	-	ECs0106	15829360	-1	116345	117088	2
49	-	ECs0105	15829359	-1	116138	116335	3
50	-	ECs0108	15829362	1	117933	118976	1
51	-	ECs0112	15829366	-1	121598	122038	1
51	-	ECs0111	15829365	-1	120203	121588	2
51	-	ECs0110	15829364	-1	119011	120213	3
52	-	ECs0113	15829367	-1	122241	123134	1
53	-	ECs0114	15829368	1	123222	123773	1
53	-	ECs0115	15829369	1	123770	124624	2
54	-	ECs0116	15829370	-1	124667	126040	1
55	pdhR	ECs0117	15829371	1	126581	127345	1
55	aceE	ECs0118	15829372	1	127506	130169	2
55	aceF	ECs0119	15829373	1	130184	132076	3
55	lpdA	ECs0120	15829374	1	132284	133708	4
56	-	ECs0121	15829375	-1	133779	135632	1
57	-	ECs0122	15829376	1	135987	138584	1
58	-	ECs0123	162139817	1	138760	139122	1
59	-	ECs0125	15829379	-1	139970	140836	1
59	-	ECs0124	15829378	-1	139160	139954	2
60	-	ECs0126	38703845	-1	140942	141289	1
61	-	ECs0127	15829381	1	141455	143005	1
62	-	ECs0128	15829382	-1	143207	145597	1
63	-	ECs0129	38703846	1	145803	146339	1
64	-	ECs0130	15829384	-1	146380	147042	1
65	-	ECs0131	15829385	1	147151	148077	1
65	-	ECs0132	15829386	1	148074	148844	2
66	-	ECs0133	15829387	1	148949	149389	1
66	-	ECs0134	15829388	1	149453	150682	2
67	-	ECs0135	15829389	-1	150686	151066	1
68	-	ECs0136	15829390	1	151340	152236	1
69	panB	ECs0138	15829392	-1	153398	154192	1
69	panC	ECs0137	15829391	-1	152535	153386	2
70	-	ECs0145	15829399	-1	160695	161291	1
70	-	ECs0144	15829398	-1	159883	160608	2
70	-	ECs0143	15829397	-1	157241	159841	3
70	-	ECs0142	15829396	-1	156679	157239	4
70	-	ECs0141	15829395	-1	156059	156664	5
70	-	ECs0140	15829394	-1	155448	156038	6
70	-	ECs0139	15829393	-1	154327	155436	7
71	dksA	ECs0149	15829403	-1	164471	164926	1
71	-	ECs0148	162139815	-1	163508	164404	2
71	pcnB	ECs0147	162139816	-1	162051	163469	3
71	-	ECs0146	15829400	-1	161572	162054	4
72	-	ECs0151	38703847	-1	165823	166353	1
72	-	ECs0150	15829404	-1	165104	165808	2
73	-	ECs0152	15829406	1	166382	168856	1
73	-	ECs5364	38703848	1	168859	169065	2
73	mrcB	ECs0153	15829407	1	169052	171586	3
74	-	ECs0154	15829408	1	171806	174049	1
74	-	ECs0155	15829409	1	174100	174897	2
74	-	ECs0156	15829410	1	174897	175787	3
74	-	ECs0157	15829411	1	175784	177766	4
75	-	ECs0158	15829412	-1	177801	179081	1
76	-	ECs0159	15829413	1	179306	180727	1
76	-	ECs0160	15829414	1	180809	181153	2
77	-	ECs0163	15829417	-1	182654	183352	1
77	-	ECs0162	15829416	-1	181861	182661	2
77	-	ECs0161	15829415	-1	181200	181823	3
78	dgt	ECs0164	15829418	1	183436	184953	1
79	-	ECs0165	15829419	1	185083	186507	1
80	-	ECs0166	15829420	1	186662	187819	1
81	-	ECs0167	15829421	-1	187908	188294	1
82	-	ECs0170	15829424	-1	192198	192992	1
82	-	ECs0169	15829423	-1	189464	192136	2
82	dapD	ECs0168	15829422	-1	188609	189433	3
83	rpsB	ECs0171	15829425	1	193360	194085	1
83	tsf	ECs0172	15829426	1	194343	195194	2
83	pyrH	ECs0173	15829427	1	195341	196066	3
83	frr	ECs0174	15829428	1	196216	196773	4
83	-	ECs0175	15829429	1	196865	198061	5
84	-	ECs0176	15829430	1	198247	199008	1
84	cdsA	ECs0177	162139814	1	199021	199878	2
84	-	ECs0178	15829432	1	199890	201242	3
84	-	ECs0179	15829433	1	201272	203704	4
84	-	ECs0180	15829434	1	203825	204310	5
84	lpxD	ECs0181	15829435	1	204314	205339	6
84	fabZ	ECs0182	15829436	1	205444	205899	7
84	-	ECs0183	15829437	1	205903	206691	8
84	lpxB	ECs0184	15829438	1	206691	207839	9
84	rnhB	ECs0185	15829439	1	207836	208432	10
84	dnaE	ECs0186	15829440	1	208469	211951	11
84	-	ECs0187	15829441	1	211964	212923	12
85	-	ECs0188	15829442	1	213022	215163	1
85	-	ECs0189	38703849	1	215220	215609	2
86	tilS	ECs0190	15829444	1	215674	216969	1
87	-	ECs0192	15829446	1	217635	218093	1
87	-	ECs0193	15829447	1	218177	218587	2
87	-	ECs0194	15829448	1	218601	219311	3
88	-	ECs0195	15829449	-1	219511	220335	1
89	-	ECs0196	15829450	-1	220388	222106	1
90	-	ECs0197	15829451	-1	222217	222924	1
91	rcsF	ECs0198	15829452	-1	222921	223325	1
92	metN	ECs0201	15829455	-1	224944	225975	1
92	-	ECs0200	15829454	-1	224298	224951	2
92	metQ	ECs0199	15829453	-1	223443	224258	3
93	-	ECs0202	15829456	1	226163	226738	1
94	dkgB	ECs0203	15829457	1	232496	233299	1
95	-	ECs0204	15829458	-1	233296	234210	1
96	-	ECs0205	15829459	1	234451	235251	1
97	-	ECs0206	15829460	1	235329	236099	1
98	-	ECs0208	15829462	-1	237577	238332	1
98	mltD	ECs0207	15829461	-1	236147	237505	2
99	-	ECs0209	15829463	1	238348	239088	1
100	rnhA	ECs0210	15829464	-1	239085	239552	1
101	-	ECs0211	15829465	1	239617	240348	1
102	-	ECs0214	15829468	-1	242616	243263	1
102	-	ECs0213	15829467	-1	242164	242613	2
102	-	ECs0212	15829466	-1	241871	242167	3
103	-	ECs0218	15829472	-1	245398	248505	1
103	-	ECs0217	15829471	-1	243978	245387	2
103	-	ECs0216	15829470	-1	243533	244012	3
104	-	ECs0222	15829476	-1	250385	251128	1
104	-	ECs0221	15829475	-1	249760	250380	2
104	-	ECs0220	15829474	-1	248969	249763	3
105	-	ECs0233	15829487	-1	262936	263436	1
105	-	ECs0232	15829486	-1	262677	262901	2
105	-	ECs0231	15829485	-1	261235	262626	3
105	-	ECs0230	15829484	-1	260731	261144	4
105	-	ECs0229	15829483	-1	258877	260727	5
105	-	ECs0228	15829482	-1	257831	258913	6
105	-	ECs0227	15829481	-1	256526	257806	7
105	-	ECs0226	15829480	-1	256005	256529	8
105	-	ECs0225	15829479	-1	254671	256002	9
105	-	ECs0224	15829478	-1	253905	254666	10
105	-	ECs0223	15829477	-1	251125	253896	11
106	-	ECs0234	15829488	1	264133	264651	1
106	-	ECs0235	15829489	1	264684	264821	2
106	-	ECs0236	15829490	1	264861	267002	3
106	-	ECs0237	15829491	1	267078	271292	4
106	-	ECs0238	15829492	1	271295	271906	5
106	-	ECs0239	15829493	1	271928	272110	6
107	-	ECs0240	15829494	1	272254	272544	1
108	-	ECs0241	15829495	1	272652	273788	1
108	-	ECs0242	15829496	1	273791	275551	2
108	-	ECs0243	15829497	1	275535	275705	3
108	-	ECs0244	15829498	1	275753	276016	4
109	-	ECs0245	15829499	1	276197	277369	1
110	-	ECs0246	15829500	-1	277487	278257	1
111	-	ECs0247	15829501	1	278411	278884	1
112	fadE	ECs0248	162139813	-1	278927	281371	1
113	gmhA	ECs0249	15829503	1	281611	282189	1
114	-	ECs0250	15829504	1	282294	283061	1
115	-	ECs0251	15829505	-1	283032	283772	1
116	-	ECs0253	15829507	-1	284207	284467	1
116	-	ECs0252	15829506	-1	283928	284188	2
117	-	ECs0254	15829508	1	284677	285426	1
118	-	ECs0255	15829509	1	285602	285898	1
119	-	ECs0256	15829511	1	287928	288713	1
120	-	ECs0257	15829510	-1	286244	287983	1
121	-	ECs0258	15829512	1	288784	289839	1
121	-	ECs0259	15829513	1	289891	290184	2
121	-	ECs0260	15829514	1	290187	290585	3
121	-	ECs0261	15829515	1	290595	291047	4
122	-	ECs0262	15829516	1	291354	291620	1
122	prfH	ECs0263	15829517	1	291589	292089	2
123	-	ECs0264	15829518	-1	292146	293603	1
124	-	ECs0265	15829519	1	293864	294322	1
125	frsA	ECs0266	15829520	1	294414	295658	1
125	-	ECs0267	15829521	1	295716	296117	2
126	-	ECs0268	15829522	-1	296156	297211	1
127	-	ECs0269	15829523	1	297499	298602	1
127	proA	ECs0270	15829524	1	298614	299867	2
128	-	ECs0271	15829525	-1	300072	301046	1
129	-	ECs0272	15829526	-1	300937	301182	1
130	-	ECs0273	15829527	-1	301422	301811	1
131	-	ECs0274	15829528	-1	301939	302652	1
132	-	ECs0275	15829529	1	302753	302953	1
133	-	ECs0276	15829530	1	303072	303365	1
134	-	ECs0280	15829534	1	304628	305422	1
134	-	ECs0281	15829535	1	305422	306015	2
135	-	ECs0283	15829537	-1	306451	306861	1
135	-	ECs0282	15829536	-1	305987	306430	2
136	-	ECs0284	15829538	1	306891	307445	1
137	-	ECs0285	15829539	-1	307503	308276	1
138	-	ECs0287	15829541	1	309100	309843	1
139	-	ECs0288	15829542	-1	309885	310238	1
140	-	ECs0289	15829543	1	310806	311987	1
140	-	ECs0290	15829544	1	311991	312407	2
140	-	ECs0291	15829545	1	312380	312997	3
140	-	ECs0292	15829546	1	312997	313455	4
140	-	ECs0293	15829547	1	313448	314080	5
141	-	ECs0294	15829548	1	314111	314701	1
142	-	ECs0295	15829549	1	314701	315267	1
143	-	ECs0298	15829552	-1	316503	317255	1
143	-	ECs0297	15829551	-1	315955	316506	2
143	-	ECs0296	15829550	-1	315677	315949	3
144	-	ECs0299	15829553	1	318189	318449	1
144	-	ECs0300	15829554	1	318446	319003	2
144	-	ECs0301	15829555	1	319000	319221	3
144	-	ECs0302	15829556	1	319221	319544	4
144	-	ECs0303	15829557	1	319558	321891	5
145	-	ECs0304	15829558	-1	322024	322980	1
146	-	ECs0305	15829559	-1	323656	324405	1
147	-	ECs0306	15829560	1	324654	325376	1
148	-	ECs0307	15829561	1	325543	325821	1
149	-	ECs0309	15829563	-1	326524	327426	1
150	-	ECs0310	15829564	1	327594	328730	1
150	-	ECs0311	15829565	1	328806	329999	2
151	-	ECs0316	15829570	-1	334292	334981	1
151	-	ECs0315	15829569	-1	333339	334295	2
151	-	ECs0314	15829568	-1	331144	333342	3
151	-	ECs0313	15829567	-1	330178	331134	4
152	-	ECs0317	15829571	1	335399	336013	1
153	-	ECs0318	15829572	-1	336261	336590	1
154	-	ECs0323	15829577	-1	342492	343079	1
154	-	ECs0322	15829576	-1	341766	342434	2
154	-	ECs0321	15829575	-1	339215	341740	3
154	-	ECs0320	15829574	-1	337582	339225	4
154	-	ECs0319	15829573	-1	336903	337658	5
155	-	ECs0324	15829578	-1	343154	343744	1
156	-	ECs0326	15829580	1	344521	344712	1
157	rpmE2	ECs0327	15829581	-1	344922	345185	1
157	rpmJ	ECs5375	38703852	-1	344782	344922	2
158	-	ECs0328	15829582	1	345428	345829	1
158	-	ECs0329	15829583	1	345826	346173	2
158	-	ECs0330	15829584	1	346223	347761	3
159	-	ECs0331	15829585	-1	348573	349715	1
160	-	ECs0332	15829586	-1	349950	350870	1
161	-	ECs0333	15829587	1	351027	351953	1
162	-	ECs0334	15829588	-1	352241	352597	1
163	-	ECs0335	15829589	-1	352790	353365	1
164	-	ECs0336	15829590	1	353931	358184	1
165	-	ECs0337	15829591	-1	358305	359195	1
166	-	ECs0338	38703853	1	359396	360280	1
167	-	ECs0341	15829595	-1	361045	361296	1
167	-	ECs0340	15829593	-1	360440	361033	2
168	-	ECs0342	162139812	-1	361390	362715	1
169	-	ECs0343	15829597	1	362941	363795	1
170	-	ECs0344	15829598	1	364322	365041	1
170	-	ECs0345	15829599	1	365052	366479	2
170	-	ECs0346	38703854	1	366472	367167	3
171	-	ECs0347	15829601	-1	367122	367334	1
172	-	ECs0348	15829602	-1	367662	368078	1
173	-	ECs0351	15829605	-1	369562	370323	1
173	-	ECs0350	15829604	-1	368426	369520	2
173	-	ECs0349	15829603	-1	368260	368508	3
174	-	ECs0352	15829606	-1	370477	370848	1
175	-	ECs0353	15829607	-1	371104	371271	1
176	-	ECs0359	38703856	-1	376411	377016	1
176	-	ECs0358	15829612	-1	374925	376397	2
176	-	ECs0357	15829611	-1	373223	374911	3
177	-	ECs0360	15829614	1	377127	379160	1
178	-	ECs0362	15829616	1	379734	383717	1
179	-	ECs0363	15829617	1	383859	384947	1
180	-	ECs0366	15829620	-1	386012	386314	1
181	-	ECs0367	15829621	1	386777	387382	1
181	-	ECs0368	15829622	1	387422	388285	2
181	-	ECs0369	15829623	1	388275	389822	3
181	-	ECs0370	15829624	1	389822	391240	4
181	-	ECs0371	15829625	1	391266	391586	5
182	-	ECs0372	15829626	1	391755	392705	1
182	-	ECs0373	15829627	1	392715	394097	2
183	-	ECs0374	15829628	1	395057	396043	1
183	-	ECs0375	15829629	1	396092	396352	2
184	-	ECs0376	15829630	1	396464	397576	1
184	-	ECs0377	15829631	1	397569	398540	2
184	-	ECs0378	15829632	1	398537	399493	3
185	-	ECs0379	15829633	1	399580	400629	1
186	-	ECs0380	15829634	1	400872	401687	1
187	-	ECs0382	38703858	-1	402365	403012	1
188	-	ECs0383	15829637	1	403183	403458	1
189	-	ECs0384	15829638	-1	403556	405142	1
190	prpB	ECs0385	15829639	1	405381	406271	1
190	-	ECs0386	15829640	1	406427	407596	2
190	prpD	ECs0387	15829641	1	407630	409081	3
190	prpE	ECs0388	15829642	1	409121	411007	4
191	codB	ECs0389	15829643	1	411901	413160	1
191	-	ECs0390	15829644	1	413150	414433	2
192	-	ECs0391	15829645	-1	414566	415465	1
193	-	ECs0392	15829646	1	415575	416234	1
193	-	ECs0393	15829647	1	416265	416735	2
193	cynX	ECs0394	15829648	1	416768	417922	3
194	-	ECs0400	15829654	-1	425296	426084	1
194	-	ECs0399	15829653	-1	424323	425276	2
194	lacI	ECs0398	38703859	-1	423204	424295	3
194	lacZ	ECs0397	15829651	-1	420007	423081	4
194	lacY	ECs0396	15829650	-1	418702	419955	5
194	lacA	ECs0395	15829649	-1	418025	418636	6
195	-	ECs0401	15829655	-1	426187	427134	1
196	mhpA	ECs0402	15829656	1	427211	428875	1
196	mhpB	ECs0403	15829657	1	428877	429821	2
196	-	ECs0404	38703860	1	429824	430705	3
196	mhpD	ECs0405	15829659	1	430715	431524	4
196	-	ECs0406	15829660	1	431521	432471	5
196	-	ECs0407	15829661	1	432468	433481	6
197	-	ECs0408	162139811	1	433657	434868	1
198	-	ECs0409	162139810	1	434970	435509	1
199	-	ECs0412	162139706	-1	437704	438000	1
199	-	ECs0411	15829665	-1	436560	437669	2
199	-	ECs0410	15829664	-1	435634	436467	3
200	-	ECs0418	15829672	-1	445302	445931	1
200	-	ECs0417	15829671	-1	443761	445302	2
200	-	ECs0416	15829670	-1	442372	443676	3
200	-	ECs0415	15829669	-1	441344	442375	4
200	-	ECs0414	15829668	-1	439197	441275	5
200	fbpC	ECs0413	162139809	-1	438139	439185	6
201	tauA	ECs0419	15829673	1	446234	447196	1
201	tauB	ECs0420	15829674	1	447209	447976	2
201	-	ECs0421	15829675	1	447973	448800	3
201	tauD	ECs0422	15829676	1	448797	449648	4
202	-	ECs0423	38703862	-1	449755	450729	1
203	-	ECs0424	15829678	1	451255	454197	1
203	-	ECs0425	15829679	1	454240	454908	2
204	-	ECs0426	15829680	-1	454909	456066	1
205	-	ECs0427	15829681	1	456418	457638	1
205	-	ECs0428	15829682	1	457651	458745	2
206	-	ECs0429	15829683	-1	458804	459112	1
207	-	ECs0430	15829684	1	459240	459584	1
208	ddl	ECs0431	15829685	-1	459608	460702	1
209	-	ECs0432	15829686	1	461165	461425	1
209	-	ECs0433	15829687	1	461457	462941	2
210	psiF	ECs0434	15829688	1	463042	463380	1
211	adrA	ECs0435	15829689	1	463482	464597	1
212	-	ECs0436	162139808	1	465543	466001	1
213	proC	ECs0437	15829690	-1	464614	465423	1
214	aroL	ECs0438	15829692	1	466184	466708	1
214	-	ECs0439	15829693	1	466758	466949	2
215	-	ECs0440	15829694	1	467207	467884	1
216	-	ECs0441	15829695	1	467956	468240	1
217	-	ECs0442	15829696	1	470382	470663	1
217	-	ECs0443	15829697	1	470660	471109	2
218	-	ECs0444	162139807	1	472230	473138	1
219	rdgC	ECs0445	15829698	-1	471194	472105	1
220	-	ECs0448	15829702	-1	477731	478933	1
220	-	ECs0447	15829701	-1	474591	477734	2
220	araJ	ECs0446	38703863	-1	473281	474549	3
221	-	ECs0449	15829703	1	479123	479812	1
221	phoR	ECs0450	15829704	1	479870	481165	2
222	-	ECs0451	15829705	1	481572	482891	1
223	proY	ECs0452	15829706	1	482967	484340	1
224	-	ECs0453	15829707	1	484496	486313	1
225	-	ECs0454	15829708	1	486501	487946	1
226	-	ECs0455	15829709	-1	487967	488548	1
227	queA	ECs0456	15829710	1	488641	489711	1
227	tgt	ECs0457	15829711	1	489766	490893	2
227	yajC	ECs0458	15829712	1	490916	491248	3
227	secD	ECs0459	15829713	1	491276	493123	4
227	secF	ECs0460	15829714	1	493134	494105	5
228	-	ECs0461	15829715	1	494256	494498	1
228	-	ECs0462	15829716	1	494491	494772	2
229	-	ECs0463	15829717	1	494860	495207	1
230	-	ECs0464	15829718	-1	495384	496268	1
231	-	ECs0465	38703864	-1	496567	497106	1
232	nrdR	ECs0466	15829720	1	497257	497706	1
232	ribD	ECs0467	15829721	1	497710	498813	2
232	ribH	ECs0468	15829722	1	498902	499372	3
232	nusB	ECs0469	15829723	1	499392	499811	4
232	-	ECs0470	15829724	1	499889	500866	5
232	-	ECs0471	15829725	1	500844	501359	6
233	-	ECs0472	15829726	-1	501537	503108	1
234	-	ECs0476	15829730	-1	507154	507396	1
234	-	ECs0475	15829729	-1	506255	507154	2
234	-	ECs0474	15829728	-1	504368	506230	3
234	-	ECs0473	15829727	-1	503339	504313	4
235	-	ECs0477	15829731	1	507602	509050	1
236	-	ECs0479	15829733	-1	509657	510568	1
236	-	ECs0478	38703865	-1	509104	509694	2
237	-	ECs0480	162139806	1	510736	511227	1
238	-	ECs0481	38703866	-1	511355	512719	1
239	-	ECs0486	15829740	-1	516716	517663	1
239	-	ECs0485	15829739	-1	514703	516694	2
239	-	ECs0484	15829738	-1	514099	514713	3
239	-	ECs0483	15829737	-1	513770	514099	4
239	-	ECs0482	15829736	-1	512868	513758	5
240	-	ECs0488	38703867	-1	519642	520220	1
240	ampG	ECs0487	15829741	-1	518123	519598	2
241	-	ECs0489	38703868	1	520525	520842	1
242	tig	ECs0490	15829744	1	521186	522484	1
242	clpP	ECs0491	15829745	1	522729	523352	2
242	clpX	ECs0492	15829746	1	523478	524752	3
242	-	ECs0493	15829747	1	524940	527294	4
243	-	ECs0494	15829748	1	527503	527775	1
244	-	ECs0495	15829749	1	527967	529838	1
245	-	ECs0496	15829750	1	529989	530360	1
246	-	ECs0497	15829751	1	530466	530864	1
247	-	ECs0498	15829752	-1	530916	531611	1
248	-	ECs0499	15829753	-1	531676	533376	1
249	-	ECs0500	15829754	1	533464	534294	1
250	-	ECs0501	38703869	1	534446	534904	1
250	-	ECs0502	15829756	1	534934	536706	2
250	-	ECs0503	15829757	1	536699	538480	3
251	-	ECs0504	15829758	1	538661	538999	1
251	-	ECs0505	15829759	1	539029	540315	2
252	-	ECs0506	15829760	-1	540364	541224	1
253	-	ECs0507	38703870	1	541457	542014	1
254	-	ECs0508	15829762	-1	542047	542436	1
255	-	ECs0509	15829763	1	542737	543090	1
256	-	ECs0510	15829764	-1	543132	544688	1
257	-	ECs0511	38703871	-1	544846	545316	1
258	-	ECs0512	15829766	-1	545432	545983	1
259	-	ECs0514	15829768	-1	546399	546773	1
259	-	ECs0513	15829767	-1	546155	546373	2
260	-	ECs0516	15829770	-1	550491	551684	1
260	-	ECs0515	15829769	-1	547319	550468	2
261	-	ECs0517	15829771	1	551826	552473	1
262	-	ECs0518	15829772	1	552601	555963	1
263	-	ECs0520	15829774	-1	556180	556707	1
263	-	ECs0519	15829773	-1	556002	556166	2
264	-	ECs0521	15829775	1	556777	557154	1
265	-	ECs0522	15829776	1	557307	557858	1
265	-	ECs0523	15829777	1	557987	559918	2
265	-	ECs0524	15829778	1	559971	560300	3
265	recR	ECs0525	15829779	1	560300	560905	4
265	-	ECs0526	15829780	1	561015	562889	5
266	adk	ECs0527	15829781	1	563070	563714	1
267	hemH	ECs0528	15829782	1	563846	564808	1
268	-	ECs0529	15829783	-1	564805	565764	1
269	-	ECs0530	15829784	1	565916	567220	1
270	-	ECs0531	15829785	-1	567353	569029	1
271	-	ECs0532	15829786	-1	569266	570486	1
272	ushA	ECs0533	15829787	1	570704	572356	1
273	-	ECs0534	15829788	-1	572393	572872	1
274	-	ECs0535	15829789	-1	573076	573870	1
275	-	ECs0536	15829790	1	573954	574349	1
276	copA	ECs0537	15829791	-1	574564	577068	1
277	-	ECs0538	15829792	1	577330	578262	1
277	-	ECs0539	15829793	1	578265	579557	2
278	-	ECs0540	15829794	1	579895	581250	1
279	-	ECs0541	15829795	1	581353	585738	1
280	-	ECs0542	15829796	1	585946	601821	1
281	-	ECs0543	15829797	1	601867	603987	1
281	-	ECs0544	15829798	1	603984	605159	2
281	-	ECs0545	15829799	1	605156	605563	3
282	-	ECs0546	15829800	-1	605767	606189	1
283	-	ECs0548	15829802	-1	606274	607290	1
284	-	ECs0549	15829803	1	607657	608019	1
285	-	ECs0552	15829806	-1	608653	609570	1
285	-	ECs0551	15829805	-1	608198	608653	2
286	-	ECs0553	15829807	1	609716	610393	1
286	-	ECs0554	38703872	1	610380	611159	2
287	-	ECs0557	15829812	1	613530	614216	1
287	-	ECs0559	15829813	1	614213	616627	2
288	-	ECs0558	15829811	-1	612936	613562	1
288	-	ECs0556	15829810	-1	612137	612946	2
288	-	ECs0555	38703873	-1	611222	612076	3
289	-	ECs0560	15829814	1	617057	621253	1
289	-	ECs0561	15829815	1	621234	621494	2
290	-	ECs0563	38703874	-1	622238	622609	1
291	-	ECs0564	15829818	-1	622725	623819	1
292	-	ECs0565	15829819	-1	623888	624814	1
293	-	ECs0566	15829820	1	625044	625526	1
293	-	ECs0567	15829821	1	625604	626419	2
293	-	ECs0568	15829822	1	626509	628290	3
293	-	ECs0569	15829823	1	628303	629079	4
293	-	ECs0570	15829824	1	629180	630058	5
293	-	ECs0571	15829825	1	630090	630368	6
294	-	ECs0572	15829826	1	630227	631618	1
295	-	ECs0575	38703875	1	633073	634374	1
295	-	ECs0576	15829830	1	634396	635541	2
296	-	ECs0579	15829833	-1	637822	638871	1
296	-	ECs0578	15829832	-1	636565	637800	2
